USER    ,    PID,   PPID,    ELAPSED,%CPU,COMMAND                    ,COMMAND
root    ,    802,      1, 1-18:44:57, 0.0,/sbin/agetty -o -p -- \u --,agetty
root    ,    804,    779, 1-18:44:56, 0.8,/usr/lib/xorg/Xorg :0 -seat,Xorg
root    ,    882,      1, 1-18:44:48, 0.0,/usr/lib/ipsec/starter --da,starter
root    ,    896,      2, 1-18:44:47, 0.0,[iprt-VBoxWQueue]          ,iprt-VBoxWQueue
root    ,    897,      2, 1-18:44:46, 0.0,[iprt-VBoxTscThr]          ,iprt-VBoxTscThr
postgres,    901,      1, 1-18:44:46, 0.0,/usr/lib/postgresql/12/bin/,postgres
postgres,    902,      1, 1-18:44:46, 0.0,/usr/lib/postgresql/11/bin/,postgres
root    ,    906,    882, 1-18:44:45, 0.0,/usr/lib/ipsec/charon      ,charon
postgres,    943,    901, 1-18:44:37, 0.0,postgres: 12/main: checkpoi,postgres
postgres,    944,    901, 1-18:44:37, 0.0,postgres: 12/main: backgrou,postgres
postgres,    945,    901, 1-18:44:37, 0.0,postgres: 12/main: walwrite,postgres
postgres,    946,    901, 1-18:44:37, 0.0,postgres: 12/main: autovacu,postgres
postgres,    947,    901, 1-18:44:37, 0.0,postgres: 12/main: stats co,postgres
postgres,    948,    901, 1-18:44:37, 0.0,postgres: 12/main: logical ,postgres
rtkit   ,    962,      1, 1-18:44:34, 0.0,/usr/libexec/rtkit-daemon  ,rtkit-daemon
postgres,    990,    902, 1-18:44:27, 0.0,postgres: 11/main: checkpoi,postgres
postgres,    991,    902, 1-18:44:27, 0.0,postgres: 11/main: backgrou,postgres
postgres,    992,    902, 1-18:44:27, 0.0,postgres: 11/main: walwrite,postgres
postgres,    993,    902, 1-18:44:27, 0.0,postgres: 11/main: autovacu,postgres
postgres,    994,    902, 1-18:44:27, 0.0,postgres: 11/main: stats co,postgres
postgres,    995,    902, 1-18:44:27, 0.0,postgres: 11/main: logical ,postgres
root    ,   1053,      2, 1-18:44:21, 0.0,[krfcommd]                 ,krfcommd
root    ,   1055,      1, 1-18:44:21, 0.0,/usr/bin/python3 /usr/bin/f,faraday-server
root    ,   1059,    779, 1-18:44:05, 0.0,lightdm --session-child 12 ,lightdm
